Pop,PM,NCD25,NCD30,NCD35,NCD40,NCD45,NCD50,NCD55,NCD60,NCD65,NCD70,NCD75,NCD80,NCD85,NCD90,NCD95
38277536,52,2308,2441,3333,5361,11224,12746,9220,7533,10253,11904,11742,9569,5605,2162,567
2720353,19,95,108,115,161,273,482,797,1404,1838,2659,3441,4296,2945,1525,625
41847290,33,1085,1732,2670,3625,5144,7224,9219,12601,15183,15250,21053,25283,28816,6224,889
55505,6,3,4,6,10,16,25,32,35,37,38,37,35,26,13,5
83064,9,1,2,3,7,13,20,29,35,42,55,65,67,88,77,46
30138521,28,978,1301,1669,2753,3554,5003,6249,7112,7679,6408,6744,4613,2421,1003,289
88489,18,3,3,6,9,15,26,39,51,54,64,69,73,57,34,15
45115284,14,1055,1595,2516,4011,6328,9626,14834,21587,28264,33966,37704,40685,37466,23551,11808
3019674,34,65,113,192,324,494,835,1657,2456,2911,2724,2958,5196,3407,2007,386
24568113,7,389,630,966,1409,2362,3513,5577,7868,11097,16163,19342,24257,27133,22148,11499
8916185,12,102,158,250,432,878,1720,2766,3785,5052,6761,9970,12316,13935,11637,6443
10278674,25,463,676,923,1320,2175,4018,6893,8495,8072,6096,7800,11351,5418,1151,137
1442691,59,27,44,108,141,195,260,383,473,483,403,406,392,235,56,6
159259850,63,5287,6690,9077,14610,22234,37888,44155,59406,69957,78864,79622,84953,61606,25978,6485
297771,21,8,13,21,32,57,90,150,227,269,351,376,397,382,238,77
9500785,16,283,670,1103,1622,2526,4007,7258,10810,11997,11570,12822,19053,14852,9303,3022
11419166,13,119,189,324,571,1129,2117,3602,5316,6998,9407,10640,16196,19727,14360,7148
410094,21,20,28,32,44,69,94,124,133,132,134,132,138,113,74,39
12665751,47,500,570,707,1015,1256,1668,1962,2480,2725,3074,3434,2882,1660,794,273
64030,7,1,1,2,4,9,16,25,35,43,56,73,89,85,57,32
754250,40,30,40,54,73,101,141,191,258,333,407,455,433,290,126,47
12011750,27,355,460,683,1085,1625,2399,3394,4760,6070,7225,7672,6744,4680,2072,655
3299982,29,45,81,145,293,531,1012,1899,2844,3886,4561,5617,7256,4805,1857,571
2338721,25,93,162,265,388,510,655,872,1095,1180,1105,991,822,493,187,54
216664814,12,5924,9893,16562,25371,37173,56010,77313,96960,112874,126354,131521,131584,108415,66628,37730
437119,8,17,28,42,64,91,109,145,172,201,190,184,160,91,24,5
6934625,19,170,345,624,1240,2253,3551,5563,8322,11640,15706,17845,20555,19888,8426,1708
22691773,54,977,1125,1448,2067,2460,3382,4087,5139,5502,6004,5962,4792,2753,1319,435
11934361,33,433,551,768,1120,1354,1873,2465,3154,3250,2756,2469,2112,1196,482,144
16603118,22,801,1152,1572,2072,2975,4875,6569,7834,8476,9159,8629,7746,5227,2099,612
29101868,64,1318,1666,2081,2870,3405,4532,5506,6910,7337,7525,7576,6447,3717,1628,439
36519840,7,698,957,1348,2055,3426,6269,11483,17101,22497,29406,32766,37623,40540,31623,18628
563563,51,18,25,34,48,73,118,163,210,215,204,257,435,371,192,98
5299863,46,221,292,452,824,1265,1705,2015,2149,1922,1652,1323,881,395,126,31
16398860,59,576,671,837,1248,1621,2237,2639,3296,3726,3912,3768,3015,1892,710,245
18198359,23,347,481,769,1185,2107,3425,5372,7276,9241,11185,13089,14101,14170,9023,3962
1422350422,48,28561,58463,79585,138775,240002,422430,524269,722131,1067263,1335989,1407262,1633552,1273736,456018,129228
47776679,22,1203,1500,2170,2832,4135,6817,9892,13911,16763,20454,23913,27885,25455,18478,12698
714351,17,26,33,48,79,107,145,179,236,273,363,370,341,209,100,35
5265846,39,176,269,443,736,1028,1305,1553,1733,1876,1920,1822,1484,881,313,77
4716744,17,132,197,273,363,520,841,1229,1646,1879,2138,2413,2618,2531,1805,1392
26171532,56,1080,1431,1874,2625,3036,3953,4685,5750,5951,5816,5837,4831,2955,1312,401
4247902,18,50,90,171,310,574,1120,1921,3124,4330,4956,7154,9883,9192,4598,1163
11358510,18,197,325,453,874,2083,3914,5878,6516,8636,10954,12776,12783,10767,7733,4975
1313477,16,18,27,45,74,106,181,283,453,646,892,1223,1711,1508,602,112
10643487,17,117,222,403,873,1548,2230,3821,6476,10555,14308,15313,15733,16690,10762,4831
87670444,36,3021,3991,5304,7811,10993,15795,20097,23545,23830,23322,21184,18586,11161,4666,1391
5802733,10,76,102,161,319,619,1228,1902,2822,4002,6665,7424,8164,7367,5542,3253
1202797,43,39,60,90,147,189,242,285,352,372,381,311,230,120,48,15
68681,19,3,5,7,8,15,25,36,49,61,69,89,108,82,47,18
10881855,18,480,715,1017,1470,2116,3162,3664,4932,5073,6311,5653,6248,6011,3191,1442
17588392,20,623,802,1090,1475,2080,2939,4150,5225,6190,7281,8392,9172,8935,5862,1451
99069551,68,4162,5505,7784,10776,17577,31853,45687,60062,67013,61812,58822,44569,27307,10185,3089
6256143,22,271,388,524,738,1024,1396,1760,2148,2525,3079,3548,3785,3669,2286,1904
1419839,45,43,53,66,85,115,149,181,223,287,276,338,295,176,72,24
6711213,44,299,373,569,917,1204,1481,1755,1968,1928,1605,1591,1110,560,176,39
1312361,6,49,84,97,149,248,363,620,936,1255,1422,1978,2649,2613,1785,570
107591164,34,3260,3725,4984,7181,8506,10921,13389,17750,21908,25571,27381,23363,13576,5809,1773
