int,gamma,delta,theta,alpha,mu,v
-0.017414627,0.268310439,5.252729568,-0.363010378,19.02009702,1.493827363,1.073912626
-0.014487571,7.384851523,27.82410651,-8.665164359,35.76400819,-3.176982476,1.403557444
0.004024699,1.426908663,24.20974726,-1.048153005,22.64801867,0.722892264,1.561428368
0.010757136,-0.910913477,4.46373928,0.794837289,2.338870118,-11.54775927,10.54548438
0.011511222,0.897824228,21.83906127,-0.879236418,32.10289695,1.179365953,1.574590762
-0.004960492,1.271379958,21.83906127,-1.337345621,32.10289695,1.179365953,1.574590762
-0.004641639,6.397931486,27.82410651,-7.505001129,35.76400819,-3.176982476,1.403557444
-0.000288472,1.789734735,24.20974726,-1.384307151,22.64801867,0.722892264,1.561428368
0.002451965,5.835905513,27.82410651,-6.825880309,35.76400819,-3.176982476,1.403557444
-0.011698755,1.383045021,21.83906127,-1.484604299,32.10289695,1.179365953,1.574590762
-0.012488845,1.512330599,21.83906127,-1.660023461,32.10289695,1.179365953,1.574590762
-0.002800479,1.236129643,21.83906127,-1.296911814,32.10289695,1.179365953,1.574590762
-0.002268973,-1.094549219,4.46373928,0.949725793,2.338870118,-11.54775927,10.54548438
-0.006911916,1.168053207,21.83906127,-1.192571001,32.10289695,1.179365953,1.574590762
-0.011639341,1.335004829,21.83906127,-1.39853265,32.10289695,1.179365953,1.574590762
-0.002340535,0.994733205,21.83906127,-0.973257672,32.10289695,1.179365953,1.574590762
-0.007518762,1.767894874,24.20974726,-1.351015543,22.64801867,0.722892264,1.561428368
0.01347897,1.352672539,24.20974726,-1.014324742,22.64801867,0.722892264,1.561428368
0.002557025,1.10675573,21.83906127,-1.153419272,32.10289695,1.179365953,1.574590762
-0.001187693,1.707129409,24.20974726,-1.320916037,22.64801867,0.722892264,1.561428368
-0.007266054,1.387323159,21.83906127,-1.496728677,32.10289695,1.179365953,1.574590762
-0.003630451,1.339826092,21.83906127,-1.442372742,32.10289695,1.179365953,1.574590762
0.009097708,1.36659929,24.20974726,-1.022826111,22.64801867,0.722892264,1.561428368
0.007046683,1.465240405,24.20974726,-1.099479844,22.64801867,0.722892264,1.561428368
-0.011121469,-1.370010269,4.46373928,1.177593616,2.338870118,-11.54775927,10.54548438
0.009379505,10.13476557,22.33980395,-9.689060737,21.8596375,-3.605342016,1.583743082
-0.011044118,-0.995623709,4.46373928,0.88110531,2.338870118,-11.54775927,10.54548438
0.01375832,8.692760914,22.33980395,-8.270594409,21.8596375,-3.605342016,1.583743082
-0.011227285,1.38271566,21.83906127,-1.487604488,32.10289695,1.179365953,1.574590762
0.018306471,9.820834707,22.33980395,-9.401843356,21.8596375,-3.605342016,1.583743082
